Time,Latitude,Longitude
2023-01-01 08:00:00,34.0522,-118.2437
2023-01-01 08:10:00,34.0525,-118.2439
2023-01-01 08:20:00,34.0528,-118.2441
2023-01-01 08:30:00,34.0531,-118.2443
2023-01-01 08:40:00,34.0534,-118.2445
2023-01-01 08:50:00,34.0537,-118.2447
2023-01-01 09:00:00,34.0540,-118.2449
2023-01-01 09:10:00,34.0543,-118.2451
2023-01-01 09:20:00,34.0546,-118.2453
2023-01-01 09:30:00,34.0549,-118.2455
2023-01-01 09:40:00,34.0552,-118.2457
2023-01-01 09:50:00,34.0555,-118.2459
2023-01-01 10:00:00,34.0558,-118.2461
2023-01-01 10:10:00,34.0561,-118.2463
2023-01-01 10:20:00,34.0564,-118.2465
2023-01-01 10:30:00,34.0567,-118.2467
2023-01-01 10:40:00,34.0570,-118.2469
2023-01-01 10:50:00,34.0573,-118.2471
2023-01-01 11:00:00,34.0576,-118.2473
2023-01-01 11:10:00,34.0579,-118.2475
2023-01-01 11:20:00,34.0582,-118.2477
2023-01-01 11:30:00,34.0585,-118.2479
2023-01-01 11:40:00,34.0588,-118.2481
2023-01-01 11:50:00,34.0591,-118.2483
2023-01-01 12:00:00,34.0594,-118.2485
2023-01-01 12:10:00,34.0597,-118.2487
2023-01-01 12:20:00,34.0600,-118.2489
2023-01-01 12:30:00,34.0603,-118.2491
2023-01-01 12:40:00,34.0606,-118.2493
2023-01-01 12:50:00,34.0609,-118.2495
2023-01-01 13:00:00,34.0612,-118.2497
2023-01-01 13:10:00,34.0615,-118.2499
2023-01-01 13:20:00,34.0618,-118.2501
2023-01-01 13:30:00,34.0621,-118.2503
2023-01-01 13:40:00,34.0624,-118.2505
2023-01-01 13:50:00,34.0627,-118.2507
2023-01-01 14:00:00,34.0630,-118.2509
2023-01-01 14:10:00,34.0633,-118.2511
2023-01-01 14:20:00,34.0636,-118.2513
2023-01-01 14:30:00,34.0639,-118.2515
2023-01-01 14:40:00,34.0642,-118.2517
2023-01-01 14:50:00,34.0645,-118.2519
2023-01-01 15:00:00,34.0648,-118.2521
2023-01-01 15:10:00,34.0651,-118.2523
2023-01-01 15:20:00,34.0654,-118.2525
2023-01-01 15:30:00,34.0657,-118.2527
2023-01-01 15:40:00,34.0660,-118.2529
2023-01-01 15:50:00,34.0663,-118.2531
2023-01-01 16:00:00,34.0666,-118.2533
2023-01-01 16:10:00,34.0669,-118.2535
2023-01-01 16:20:00,34.0672,-118.2537
2023-01-01 16:30:00,34.0675,-118.2539
2023-01-01 16:40:00,34.0678,-118.2541
2023-01-01 16:50:00,34.0681,-118.2543
2023-01-01 17:00:00,34.0684,-118.2545
2023-01-01 17:10:00,34.0687,-118.2547
2023-01-01 17:20:00,34.0690,-118.2549
2023-01-01 17:30:00,34.0693,-118.2551
2023-01-01 17:40:00,34.0696,-118.2553
2023-01-01 17:50:00,34.0699,-118.2555
2023-01-01 18:00:00,34.0702,-118.2557
2023-01-01 18:10:00,34.0705,-118.2559
2023-01-01 18:20:00,34.0708,-118.2561
2023-01-01 18:30:00,34.0711,-118.2563
2023-01-01 18:40:00,34.0714,-118.2565
2023-01-01 18:50:00,34.0717,-118.2567
2023-01-01 19:00:00,34.0720,-118.2569
2023-01-01 19:10:00,34.0723,-118.2571
2023-01-01 19:20:00,34.0726,-118.2573
2023-01-01 19:30:00,34.0729,-118.2575
2023-01-01 19:40:00,34.0732,-118.2577
2023-01-01 19:50:00,34.0735,-118.2579
2023-01-01 20:00:00,34.0738,-118.2581
2023-01-01 20:10:00,34.0741,-118.2583
2023-01-01 20:20:00,34.0744,-118.2585
2023-01-01 20:30:00,34.0747,-118.2587
2023-01-01 20:40:00,34.0750,-118.2589
2023-01-01 20:50:00,34.0753,-118.2591
2023-01-01 21:00:00,34.0756,-118.2593
2023-01-01 21:10:00,34.0759,-118.2595
2023-01-01 21:20:00,34.0762,-118.2597
2023-01-01 21:30:00,34.0765,-118.2599
2023-01-01 21:40:00,34.0768,-118.2601
2023-01-01 21:50:00,34.0771,-118.2603
2023-01-01 22:00:00,34.0774,-118.2605
2023-01-01 22:10:00,34.0777,-118.2607
2023-01-01 22:20:00,34.0780,-118.2609
2023-01-01 22:30:00,34.0783,-118.2611
2023-01-01 22:40:00,34.0786,-118.2613
2023-01-01 22:50:00,34.0789,-118.2615
